lottery_sub_types.sub_type_name,drawing_schedules.draw_time
ดาวโจนส์VIP,0:30:00
ดาวโจนส์STAR,1:30:00
หุ้นดาวโจนส์,3:00:00
ลาวประตูชัย,5:45:00
ลาวสันติภาพ,6:45:00
ลาวประชาคม,7:45:00
ลาวEXTRA,8:30:00
หวย ธกส.,8:30:00
ลาวใต้,8:45:00
หุ้นนิเคอิเช้าVIP,9:05:00
นิเคอิเช้า ดิจิตอล,9:20:00
หุ้นนิเคอิเช้า,9:30:00
ฮานอยอาเซียน,9:30:00
หุ้นจีนเช้าVIP,10:05:00
จีนเช้า ดิจิตอล,10:20:00
หุ้นจีนเช้า,10:30:00
หวยลาวTV,10:30:00
หุ้นฮั่งเส็งเช้าVIP,10:35:00
ฮั่งเส็งเช้า ดิจิตอล,10:50:00
หุ้นฮั่งเส็งเช้า,11:05:00
หวยฮานอยHD,11:30:00
หุ้นไต้หวันVIP,11:35:00
ไต้หวัน ดิจิตอล,11:50:00
เกาหลี ดิจิตอล,12:30:00
ฮานอยSTAR,12:30:00
หวยออมสิน,12:30:00
หุ้นไต้หวัน,12:35:00
หุ้นเกาหลีVIP,12:35:00
ลาวเหนือ,12:45:00
หุ้นนิเคอิบ่าย,13:00:00
นิเคอิบ่าย ดิจิตอล,13:15:00
หุ้นนิเคอิบ่ายVIP,13:25:00
หุ้นเกาหลี,13:35:00
หวยลาวHD,13:45:00
หุ้นจีนบ่าย,14:00:00
จีนบ่าย ดิจิตอล,14:05:00
หุ้นจีนบ่ายVIP,14:25:00
หวยฮานอยTV,14:30:00
ฮั่งเส็งบ่าย ดิจิตอล,14:50:00
ฮั่งเส็งบ่ายVIP,15:25:00
ฮั่งเส็งบ่าย,15:30:00
หวยรัฐบาล,15:40:00
ลาวSTAR,15:45:00
สิงคโปร์ ดิจิตอล,15:55:00
หุ้นสิงคโปร์,16:30:00
ฮานอยกาชาด,16:30:00
ลาวไชโย,16:45:00
หุ้นสิงคโปร์VIP,17:05:00
ฮานอยพิเศษ,17:30:00
ฮานอยสามัคคี,17:30:00
หวยฮานอยชุด,18:30:00
หวยหุ้นมาเลย์,18:30:00
ฮานอยปกติ,18:30:00
ฮานอย ดิจิตอล,19:00:00
ฮานอยพัฒนา,19:30:00
ฮานอยVIP,19:30:00
ลาว ดิจิตอล,20:00:00
หวยลาวชุด,20:30:00
หวยลาวพัฒนา,20:30:00
ลาวสามัคคี,20:30:00
ลาวมิตรภาพ,21:00:00
ลาวอาเซียน,21:00:00
อังกฤษ ดิจิตอล,21:30:00
ลาวสามัคคีVIP,21:30:00
หวยลาวVIP,21:30:00
หุ้นอังกฤษVIP,21:50:00
เยอรมัน ดิจิตอล,22:00:00
ลาวสตาร์VIP,22:00:00
รัสเซีย ดิจิตอล,22:30:00
ฮานอยEXTRA,22:30:00
หุ้นรัสเซีย,22:40:00
หุ้นเยอรมันVIP,22:50:00
ดาวโจนส์ ดิจิตอล,23:00:00
หุ้นอังกฤษ,23:20:00
หุ้นเยอรมัน,23:30:00
ลาวกาชาด,23:30:00
หุ้นรัสเซียVIP,23:50:00
